title,rating,snippet
Jeremy Andrei Cayas,5,Love this game!!
Siba Biswas,4,Very nice game
Shabith Sahulhmeed,5,😻😻😻Loving it 😍
Rasyiqah Basirah,4,Very fun but pls hoyo let go of the cryo characters
jasmine khatun,5,Good game
Victor Molina,5,"A really good game, you can go out on adventures anytime you want and meet new people on your journey! The problem is, that it says its only for 266mb but then you have to download atleast 26kgb worth of storage when you actually download the game😔"
amirul rohaimi,5,I really love this game bcs the storyline is really make me feel want to play a lot not just the storyline but the other things like character and map !
Shelby Montgomery,5,"Very beautiful, huge game, compatible with PC"
kurian Sunoj FF,5,Good
María José Cruz,1,Make official art with Lumine! Why make her an option but not include her?
Karen Mesey,5,This game is cool
Mr Marz,1,Genshin could never!!!
Pema Yoezer,5,GOOD GAME
Luan Herholdt,5,"Very fun game, would recommend it"
Shivam Sharma,5,"I love this game story ,character and world building top notch. I am die heart fan of anime when i play this game its seem like I am in the world where I wanna live."
Anurag,1,MKC iss game ki
Sujan,5,Love the game! Such beautiful World building. I am addicted lol
Ryan Corpuz Doton,1,"I don't know why but everytime I progress in this game, i am sorry in advance but the story gets more boring every time I progress in the game, I am looking for a fresh content but it looks like this game doesn't feed my wants. So... Yeah, permanent quiting is the best option for me."
Anwar,5,Idk I just like it
남정용,5,리얼 갓겜ㅁ
Arriadne Delvallé,5,"ITS SOOO GOOD, AND ALSO... SO MANY HNDSM CHARACTERS—"
Sufiyan Sufiyan9,5,This is a good game for mobile users
Portugese Maximilian Patrick Tan,3,"the game is fun i used to play it, but restarted. PLEASE FIX THE DOWNLOAD SYSTEM, IT'S SO SLOW"
Ramirez Kids,1,I have never played this game. I am leaving a 1 star review because it is anime. And I find it entertaining to say that I hate anime when I haven't watched it. And I SERIOUSLY haven't watched anime. Ever.
Jason voorhees,5,Proud to be traveler
sutheen fantasy,1,"Add a skip button ,that's it. Because it's taking too much for single quest and also thanks for the response . Once again pls add a skip button for quests and stories 😭 cos of this I deleted this game multiple times ."
stilio,1,poop
Aseng gnesa,4,I just started this month and honestly it has been real difficult to get pulls. The game itself was pretty enjoyable though.
pradyut nath,3,Everything is good but there is ping issue. Keeps on reconnecting.
Jomer Pineda,4,"Great game tbh currently playing on my ps4 adventure rank 55 close to reaching 56 but i have a suggestion, have you guys or has hoyoverse ever thought about making a skip dialogs? I hate to break it to you but i just mashing ""X"" on my controller i tried it on mobile but still the same no skip dialogs. So i wish in version 5.3 hoyoverse you guys should make a skip dialogs thanks thats all :]"
Sara,2,"it gets boring so fast. I don't wanna go to 5 different people just to get an ""I don't know"" it's a waste of time. And please add a skip button. Some people don't care about the lore, and it's like 7+ for one story."
Mark Glen Marzo,3,Android Controller Support When?
Sept,4,"Despite the whole anniversary being a bad thing, this game is actually really fun to play and good, and hey I believe that this game will improve more"
Glennox Gin,5,nice nice
Maria Santos,5,Best game ever
Azlynn,1,"I love Genshin Impact but on my phone I can only use the cloud version so on my laptop I installed this hoping to play the full game without pesky time limits and I finally get past the loading and verification and go to play, I get past the door and onto the screen where it says headphones recommended and it has the archon/ elemental symbols and on the last one (geo) it closes the game out, I've restarted my computer and reinstalled the game several times, this is quite unfortunate..."
Moron GoaT,1,More endgame content plz
Yellowwwool •,1,"I started playing about a month after the release and have played regularly since. I use to find genshin impact very enjoyable, but recently I've found it increasingly difficult to continue playing. The absolute refusal to listen to suggestions and recommendations has impacted the game negatively. Fanservice is so heavily laid on that it completely destroys the amazing plotlines. It's upsetting to see a game with such potential be reduced to fanservice and repetitive designs."
Alayna Pak,4,"WRIOTHESLEY RERUN WHEN (Also if Capitano isn't playable, players are probably gonna review bomb every app on the app store and it'll be the 1st anniversary all over again 😭)"
Stelly,5,YOOO We are so back next update we're going to get so many nice features like a free five star 20 pulls and do much more genshin has improved so much and would definitely recommend returning to it if you have left it before.
Renca :33,5,I LOVEEEE GENSHIN
Bakhtawar Malik,5,Best best best but unfortunately I did jot have much space and so I deleted it super super saddle about it but love this game super interesting and cool
Lazuardi Alghifari,4,"A year playing this game, Good game overall. Gameplay need to be rework tho, add parry/dodge/swift dodge and its good."
Adelyn Z,1,Citlali is literally all fan service. Please bring back 5.1 Citlali before I cry. Thanks!
Matsumura,5,This game will take all your time away and you will enjoy it. 10/10
Plepi - Senoi,1,Good game but hard to play👌👍
Priyanshu Kansana,5,Nice story and graphics like a real world
Nana Nidel,5,Genshin impact ia truly a good experience ☆ I loved using the character and it's so unique to me!!♡♡♡
fanny fanny,1,Plz increase rng commision rate need 100% achievement in Inazuma..... It's been 5 months no commission....
Ninna Bernardino,5,"I have been playing since November 2020 in 1.1 and until now I still do remember It was still Mihoyo back then lol. I love the game very much. Thank you, people of HYV, for always offering us amazing game play, design, music, lore, and so much more. Will continue to play the game! 💓 Edit - December 25, 2024 Merry Christmas, GI devs! After a long hiatus, I came back to play through though not as much as before, but it's a great headstart for 2025. ☺️"
Jillian Tingle,5,I LOVE this game. It's amazing and so detailed.
L,1,Games turned into disgusting hentai bait
Anime Kingdom,5,Awsome
Akila Echo,5,GENSHINNNNNN
Aryan,5,Such an adorable game
Sidharth,5,pretty good
Sheikh Mutasim,5,It's a very good game the graphics are awesome.Its open-world do mission upgrade your character more thing are there to do in the game.I recommend every one to download it on your mobile phone or pc and enjoy it
Spondon Hajong,5,Great and a beautiful game.
Md Salauddin,5,nice game
Jade Remigio,4,"Hey Hoyo,I hope you add a trading system. For example someone wanted Dehya but got Jean instead,so they could trade their Dehya for a Jean. Please consider my request."
Ja Ju,5,So many things u can do!!!
aditi bhardwaj,4,"this game is peak awesome. the graphics, battles and mini adventures games in it are so cool. but idk why this game asks for ""downloads"" and ""updates"" all the time like i can't even play peacefully. it literally takes 4-5 hours to download a new update. it's kind of annoying but i still like this game."
Gautama Arya wijaya,5,Done
Lucienne Dimitrou,5,Wow
Cemo,4,Genshin Impact is a beautiful game and I love playing it everyday. But I have one problem. Genshin Impact doesn't accept controller or keyboard on Samsung mobile devices. I want to play with my controller but I cannot because of this. As far as I know based on research it does accept controllers and keyboards on Apple devices. Please also make it available for Samsung devices.
Vaibhav Singh,1,Gacha is rigged. You get attached to game by playing story and then it's forces you to spend money. Of course they will always say that no one is forcing you to spend. But at the same time they can't improve their gacha system ( because it would lower their profits by abusing players)
Emmanuel,5,Best game I downloaded so far
Chloe Sparkle,5,"Genshin impact is a really fun adventure, social, combat, game I really like that there's many characters and interactions"
Harayer Khalid,5,idk love it
Bharti Sharma,5,This game is fabulous and so beautiful~
Crazy ff Gamer,5,Good game
Yin Hakusho,5,"I really like this game since I am playing on cloud, I really wish my phone was compatible with Genshin so I can log in without waiting for using ""Game time"""
Biraj Budhathoki,5,Awesome graphic Adventures fun to play
Riki Sandi,1,game doesn't improve that much
Dolores Niembra,5,this game is so good
Megami Aich,1,Can devs please not release updates without proper optimisation. The game has gotten laggy and glitchy. I am playing this since June 2021. I just want the smooth gameplay back. The new Natlan map is so hard to track it makes the gameplay feel difficult and confusing.
Wandering Chef,1,"The fairy pimon completely makes the game unenjoyable. Ive downloaded this several times to quickly uninstall as soon as I realize she can't be muted. I remember the first time suffering through the tutorial in hopes she would go away, but no she's a permanent companion. Terrible game."
Anuya Stephanie,1,"I downloaded your game with high expectations of having fun on my Tecno pop 9 but i didn't get it, your loading time takes too long, pls change that and maybe i might consider downloading again"
Rosy Posy,5,Hate this game so much
Narayan Choudhary,5,God game 🥶🥶🥶❤️‍🔥❤️‍🔥💯💯
MOTHRAX 2021 YT,5,I wish some would be free or obtained in game for free
Bhuvan Keerthi,5,Wonderful
Peter Fitzgerald,5,Very fun game to play
Saikat Biswas,4,I'm just giving 4 stars because I love this game and I've been playing from day one but IMAGINARIUM THEATRE IS UTTERLY A HOT GARBAGE!! I would've given this 1 star if i haven't loved this game's other aspects.
John paul Arong,5,Cool
BTS_ARMY_PARVIN,1,Bring back tall male five starts!!!!!!!
Irene,1,Bring back tall male 5 stars.
Samir Hosseini,5,Very good
Rondina Joel G Jr,5,Good game so awesome hehe
Idk Dan Idc,5,it is so hard to get so much primo without event😭
junior yahya,5,Amazing
Khair Rahimi,5,game ini sangat menarik dan menyeronokkan
Nandu Msc,5,Amazing Isekai game for mobile.
Saidi Hadj mohamed,5,This game is amazing!!!!❤️❤️❤️❤️❤️
Carl Anne Chloe Alberto,5,Very nice and it's a wonderful game
DHEERAJ SINGH,5,😘😘😘
David Rose,5,It's a beautiful game 😄
Dev Gosavi,5,This the best game Everytime I liked this game story very impressive
daves reyes,5,good
اسيل الكيلاني,5,جميله بشكل رهيب
Gaming Account,1,"★ Dark texture in Natlan Environment ★ Can you please help me with my problem? Since the drop of natlan the environment there especially the land is black. My device is Poco x6 pro 5g w/ 12/512 variant. I tried setting my graphics to default, clearing cache then reinstalling the game. Nothings happened still got the black land in natlan."
Nattasha lala,5,"I will give you 1 star untill you buff my love Dehya. Come on give her some love, she's weaker than 4 star characters now."
Steph Ocampo,3,Yall stingy af
Noel Jade,2,"I really wish that they would give you an option to lower the environment detail even more since my device is extremely weak and even when all of the graphic settings are on the lowest option the game is still quite demanding, examples of this are: there are a lot of non-interactable flowers that are rendered in 3D and it would really be nice if on the lowest settings they were to be rendered as flat, option to turn off footprints and sand trails, and option to lower the amount of particles."
Real Builders,5,I love this game it's so fun and the story is so enjoyable but can I ask how to play online.
sanchit shivam,5,It is a bit grindy and takes a lot of storage but it is a very good game
JONATHAN JOESTAR JOJO'S,1,I played it but it sucks 000000000000000
Braylon,5,Love it
Deuel Garcia,5,the game is so great the graphics are awesome and the storyline is cool
Roki Roki ahmad,1,"I wanna scure my account by change my password,you only giving me 60 seconds for verifilycation but you always send me code in email after 5 minutes."
Reny S A,5,one of the best anime style adventure games. works fairly well on a Redmi 13c at low settings.
Anastasia Yelenko,2,"Дорогие Разработчики игр Михойо(Хойолаб). На носу 2025 год а в игре Геншин Импакт на андроиде так же не присутствует возможность играть через геймпад, но это возможно на Айфонах. Прошу вас, Разработчики, исправьте это в следующем обновлении, ибо так интерес пропадает. Мы хотим равность наших моделей телефонов! Андроид телефоны это такие же как и Айфоны, а их пользователи это те самые люди! Я уверен что многие пишут Вам об этом. Не разочаровуйте фанатов игры и добавьте режим контроллера!"
Elysia,5,"It's a good game honestly. I like the vibe, especially the mysterious unsettling and the fairy-tale vibes. I love both of the vibes. The vibe is so fantasy and fairy tale. I really love it! It feels like home. I like adventures! This game is perfect, so aesthetic. I love the difference places, story line, characters and etc. Either way, it's just perfect!✨"
Areeff Jazmeen,5,Furina we thrust
هاتف زمانی,5,The best game in the 🌍
KIRUA ZOLDICK,1,Don't recommend
Monowar,5,This is Ultimate game i ever seen in mobile
Star Shin,5,No word to say
Muhammad Izz Hafiy,5,BEST
София Ларичкина,5,Я предлагаю добавить в игру : обмен камней истока на на кристаллы сотворение Пожалуйста 🥹 . А так она хорошая а с этим будет лучше 🩷
Edrian Ignacio,1,Restrictive abbys youll need to do 72x Elemental Hits to break the shield
Tama ya,5,"Gak bisa komentar apa-apa... Intinya permainannya seru, bagus"
Dmitry Razumov,1,"Genshin now is embodiment of boredom. The current gameplay of the game, all sorts of modes, constantly puts you on deadlines or ""must do activities"", adding toxic FOMO rewards... Your game turned into hell routine. I don't see reason to get any new characters - they will sit on bench for ages, waiting for normal (not even good) equipment. I don't enjoy exploration anymore - chill activity turned into tedious task, with problematic backtracking if you didn't noted everything on first run"
The Captain,5,Nice game 💯
Genesis Garcia,5,I like this game the graphics are stunning in maximum but the storage is very high at least I have 256gb storage in my phone and the quest is amazing i gave it 5 stars a very good game
Yelan Uwu,2,To much female characters it's getting boring day by day
Riva Kristina Vergara,4,Not emough males and has become boring
Robbie Jules Benedito,4,"I've been playing this game for ages now and one thing to say is that natlan is a hype! Although most people don't like the character designs, the characters are so op. Lastly, I hadn't deleted the game yet which was good. Pretty fun experience but the lack of content made me the type of player who usually logs in for commission and event unlike the past when I was new to the game that I would play for around 4-6hrs a day, maybe also due to my studies, but I'm waiting for 5.3 archon quest!! 🔥🔥"
CortezJr08 (M3XIC4N08),5,"This game is amazing, I love the characters and storyline it has definitely to recommend to play or give it a shot."
Raja Sekar,5,Very very good
Monico Santos,4,Great game comes in great storage
Azura Rosdi,5,Nice game.
Croissant,5,👍
Revin Hebisch,5,"A beautiful world with great characters and breath taking landscapes. If you love breath of the wild, this may be an improvement. The awesome hours of voice over acting are funny and high value, the combat is easy to pick up but hard to master and the depth of the character and enhance system is immense. A treasure of a game."
Chackle Lantern,4,"Fun, first time in a long time when the screen shots shown in the app store is actually fairly accurate💀"
Slimshady Eminem,5,This is so fun
Jacob Trono,5,"5 stars, because, the game blessed me with 4 5*s at the start of the game."
amana khan,5,Cool
Ruly 25,5,"W game, but I have c2 qiqi."
Bradley Lawson,5,"Great gameplay, great lore, great all around"
LiLa Lefebre,5,Good 👍
おちゃもち,2,"NATLAN. I hate how they turned citlali into simploli/citloli. Keep in mind that citlali literally was drunk in the archon quest and is called ""granny itzli"". Also Mahuikas design??? It genuinely feels ot of place. She had markings on her during capitano fight, and they werent seen because of how pale she is. Natlan designs genuinely feel out of place, considering the technology like a...motorcycle. she's the only one who has it in WHOLE teyvat, too. Natlan was 100% rewritten last second i fear."
Shane Reidy,1,Appears to be incompatable with this device. (Chromebook) Crashes out.
aaa,3,Developer listen to the community once per vidyadhara life cycle
Syahif Alhadi,5,Please added gamepad support for android
Zedrick Delgado,1,Not download
mathlouthi raslen,5,I like this game
skibidi muncher,1,mid
Jhorey Torrevillas,5,I really like the game because of its big map best graphics but the problem is the storage is to large my phone can handle it but it's so laggy Idk if can continue playing this game
Sucrose,3,"This game is ok. It's a very big game and takes a while to load. It's also very hard as a f2p player to get the currency in game. However, the game is beautiful and has a really interesting and deep plot. I just wish that it was a little easier. Also more male characters and black characters! Add diversity!"
Spiderbrox,5,The game is the best game ever I joined just a month after it's official release say on December and it was a memorable journey the trailer and cut scenes have improved alot even character from limited to f2p option I hope that it would be easier for us old player to try and get some extra mora and exp books and a increase in resine as it would help alot not a bit increase maybe up to 300 or so other then that it is amazing from storyline to the gameplay it is my no.1 game in my phone!!!!!!!!!!!
mamad mehraban,5,عاح
Nathalie Elyse,5,"THIS GAME IS SO FUNNN KYAAAHHHHH this coming from a teenager that struggles with boredness, thanks to my friends Kayla she helped me download this game. The graphics are amazing to! Easy gameplay and lots of exploration...!"
TOP SECRET,5,Cool story
Demi Agius,5,I love genshin impact so much it's the best game ever
Pheathon Gaming,2,Please add controller support on Genshin mobile please 🙏🙏🙏
Abier Mubarak,5,Never lag I always have a good experience I love it perfect better than roblox
Aditya Khatal,5,Best games it gives a vibe of palworld
Mason,5,"Have been playing this for a while myself, and enjoy it extremely. I'm f2p, and find it incredibly easy to get the 5☆ characters I really want, and enjoy the gameplay the 4☆ characters possess. Enjoy the graphics, story, characters design, and much more. (The only problem for me has to do with the obvious tilt towards female characters, but I still find all of the male characters to be enjoyable enough to ignore this small issue)"
Nifemi Odetomi,5,Amazing game Try it
Kamal Mohyadiin,5,Great 🎮🎯
Zain Peters,1,"I tried doing the download resources and guess what? I was at 78% in and it stopped and said ""no storage"" when my phone had a good amount of storage i am filled with rage and DON'T tell me when in SO close the playing!!!!"
Tana K,1,Bad. Several reasons Pros: Graphics Cons: Gacha Less rewards Boring dialogue Repetative exploration Limited time events Cliche story Too many boring things to do Limited time rewards Grinding No replayability Less frequent updates Resin I started playing this game because of the map expansions which are now lesser than before since 5.0 patch.
David White,5,I really love genshin it's an open world play game it's has many quests and voice overs my favorite character may be jean she's an anemo character she's a good healer on her squad even though it has a long download and update it is very very very worth it see u in Co cop bye thank u for reading this
SOUMYADEEP MOULICK,1,Most boring storyline ever. It went downhill after Inazuma storyline
Emma Villar,5,I love it it is really fun
King Sef,3,I will be quitting this game now. The game failed to deliver a good story for two regions(Fontaine and Natlan) and the mechanics is completely outdated.
Itz RRgamers,1,I wanna skip buttoooooooonnnnnn
nani nani,5,This is the best game I have ever played in my entire life!!!!
Faith joseph,5,I very enjoy the game
Myself,5,I love collecting the characters I like
Misha cool,4,It good
Rizwan Sami,5,Zardari Nawaz Sharif Shahbaz Sharif ?
Jordan Zavala Lopez,3,Dejen de censurarnos
Army Otaku,5,Wow
Thyvender Ranggau,5,PERFECT
ʜʏᴘᴇʀ ɴᴏᴠᴀ,1,Give me back my money
Andrea Joyce,3,"The best game I've ever play, I enjoy it a lot and this is the one that kept me up at the badtimes"
RRthehero Gaming,3,"The rewards are very low, need more game content no one needs tcg, do something"
nashnijie ancheta,5,I love this game
Earl Vincent Gorospe (Eærlv),3,"""I hold great admiration for the game; the storyline earns a perfect 10/10. On PC, I rate it five stars, yet on mobile, could you, dear MiHoYo, implement a render distance option? This would spare low-end devices from the torment of unbearable lag."""
Omar Guerrero,1,Worst game I ever played
Haruna Abubakar Yaro,5,"Best game ever I mean the game play , graphics and everything is sooo cool 😎 I'll give this game a 1000000 out of 10"
Connor,4,I have thoroughly enjoyed this game so far I have to say though there should be an option to skip dialogue.
Happy Raj,1,Natlam update ruined the game
Watermelon.,5,"Thank you for blessing us with this masterpiece, I am forever indebted to you."
Daaniya Rehman,5,Best game omgggggg
Aviral Pandey,5,Best game ever i had play
Markim Samante,5,so good but I have low device
Mehul Mandal,5,Good game
"DELOS REYES, LORENZ",5,"As a anime lover, I really like this game🥰"
Lebron Saligumba,5,Really good
Phiaksah A Sanoh,1,Not for hot blooded/short tempered person to play you have to like read a god damn poem and spend an hour in an archon quest just to get a 40-60 primogems and does not even have a skip button for long chit chat and it's even getting longer through update.
paramjeet singh,5,I have been only playing the game for a couple of days and I'm already falling in love with the graphics and story
Rylle Klee,1,"Overall good game up to Fontaine region. Our MC doesn't say much and it feels off. Some improvements here and there after 4 years thanks to competition. Graphics should be improved for high performing mobile phones, not just iPhones. Very stingy and vain, you also have to pay for in-game currency to cover for stamina/resin, otherwise tasks are very expensive even for a casual player. Story wise lacks a lot due to focus on sexualised female characters."
tejas parulekar,5,🤘
シKiwi,1,Groomer game 💀
Roshan Rai,5,🥶
Prabha Swaru,5,Dreamy magical adventure game
ASTRO MAN Gaming,5,The best game I ever tried
Ah Jong,3,Pls let me win 50 50
Krishail Lumbag,3,"This game is fun and enjoyable too but, I just hate how the storylines of the NPCs are long and it felt bored when having to read and listen to them all over again and it doesn't excite me because of, yeah the storylines being too long"
shiiru shiki,1,"Better you change your name into Barbie Impact. You dawei beaches better respect us as a female player, we need more male characters dammit. God I Hope This Game Lost, More and More, A Lot Of Player Next Year."
Muhammad Danial,5,Great game
Camille Joyce Taneo,5,Cute but it took so long to download the resources
Nick,5,Its a pretty good game but they should improve the gliding mechanism and also make the combat a little more stylish so that it doesn't be repetitive and make it easier to climb up the adventurer's rank but overall it is a pretty good game and I would recommend playing
Kalp Patel,5,Superb
Harsh793XD,1,Add a button to skip the story. Not everyone is interested in your stories. Just a waste of time for those who are not interested. Just clicking buttons.
danielle,1,what did you do to citlali ☠️
Shreyash Togarwad,5,Best 3d game I ever play and it's animation and story is fantastic
Izz qawiem muhammad,5,"So far, FANTASTIC!!! But of course it take a LOT of storage but not THAT much, like 30 GB or so."
Sandeep Kanojia,5,Best game I've ever played on smartphone.
Soslanders Orange,1,I don't play this game
Tezin Tho,5,THE characters were awesome 😎😎😎😎😎😎😎
OSSMBOY,4,I have been playing for 3 years & i loved it very much. Now a days it's not that exciting and devs are just making this game more casual than hardcore. I tried new games such as ToF & WuWa. I don't know why but genshin still shines brighter than those games. I know Devs are lazy to make their game better but players are gonna play & spend on it no matter what which is huge problem. But i say this game has the charm that can't be created by those 2 games above. I hope devs listen to us players.
Leta King,1,"I liked the game for a while, but it's starting to feel like a chore to do quests. They're so long, and it gets boring too fast. I would love the game so much if they just added a skip button. Wish they listened to their player base a bit more, too. And, please, stop turning this into a waifu simulator, most people don't like it."
jae jae,5,Yes 5 star it because I got Zhongli I one pulled and one 5 star weapon which it fit Zhongli in just 11 pulls your luck will be broken
Miki,5,"Very beautiful game, everything is thought out and beautiful music"
Itz Taki (Farhxn),5,Plz update this I play my friends
Xx_. (Z),5,"Good game overall, community is horrible, but I don't care, as long as I can play the game in peace."
_BL.ADDICT_,5,"A masterpiece. Worth every GB it takes in my phone. At first, I was hesitant about playing such a game which takes a lot of space but now I can't bring myself to abandon it. I'm not one to play a game for more than a week but I've been playing it since 14th September 2024, I can't stop playing it every day"
Christopher Mangubat,1,"Bro, sumeru sucks, so are the puzzles in every nation"
Tarun Giri,5,Good game
Bikram Kc chhetri,5,it.the.best.game
DEBARGHA RAJBANSHI,5,Open world beautiful graphics and story♥️
Kendra Mun,5,ITS REALLY FUN I KEEP PLAYING THIS
Lalramthazuali,5,So funnn my favorite character is furina
Az Ka,5,Good
Yokaream,5,Excellent game my nephew told me about this
Rochelle Sabagkit,5,"It's a fun game I enjoyed playing this with my friends and family, though people started boycotting it because there's other new games released. So far it's still my favorite, why not play games at the same time anyway?"
Becky Freen,5,So good💫
Arsalaan LaFleur,1,"Still no controller support for Android, and we're going into 2025...this game deserves its low rating"
selina w,3,"Beautiful and addictive game, but once you get past like the first 2 story arcs, rewards significantly drop and game becomes much more grindy and less friendly to casuals/f2ps. Character progression/artifact system is extremely grindy, but that wouldn't be a problem if the gameplay was actually fun. You are stuck replaying the same battle (domain) over and over, for months, just to boost your character's stats by like 1 percent. The grindiness of this game really offputs me from playing longterm"
Pepe Rivas,5,"Beautiful just beautiful Amazing graphic, storyline, just everything in general is so good 10/10."
Rudy,5,So good but for some reason I can't update to version 5.3 and I'm stuck in version 5.2 but you should really get it it's really fun BTW you should find lìyue
Zaiphe Day,5,GREAT GAME!
Damian De La Rosa (Poco),1,ADD SKIP BUTTON.
Rain Eldrin,5,NAHHH THIS IS SO COOL
Rachael Anderson,1,"Not worth it! Can't even play the game. Takes way too long to download. There are better games similar to genshin, AND they don't take a ridiculously long amount of time to download."
Christine Latoraco (Chris),3,"Its great, but when you get a new phone to transfer the app, the account you spent alot on doesn't transfer and you have to start new"
Péter Vazinay,2,go play a better gacha game instead like hsr or limbus
Tajbiul Azim (Pika),5,Thank you very much for an amazing game.
Jhaymark Ordonio,5,Guddd
Tommy Fernandes,5,good game because I'm lose streak at mobile legend
Dark Death,1,my genshin keep closing when I am fully load
Desthuip,5,"Amazing game play, tons of characters to collect and playing f2p is still really rewarding! The lore is actually so good and it's my fav game to play on my free time! Definitely try it out!"
Steven Shan,5,I super like this game from the Script and view.That's so fantastic.
Narh Alexander,5,This takes 10 hours to load I can't wait that long😡
Talyx,1,"This game set the base standard for what a gacha mixed with an mmo that its mostly a single player game with nice co-op should be, sadly lies and company greed, and most importantly, too comfortable with first place ruined what this game was and could've been. Hoyo lost all credibility and trust from their players. If you want a good hoyo game, play honkai star rail, but I would suggest staying away from anything with hoyoverse on its name. Play wuthering waves instead."
Sage Fischer,1,Very cringe
Duck_Blox,2,"I had an old account in this game connected to my Gmail long ago. I un-installed the game to free up some space on my phone but then I got bored and downloaded it again, I tried logging in with the same Gmail that was connected to my old account hoping to get it back but it didn't work. PLEASE fix this I dont wanna restart the storyline 😔 !"
iman iskandar,5,Nice game
Kalin Lawrence,5,"Regardless of what every one says, I'm betting everything I have for citlali and mavuika"
It'z Sayan,4,Riyal
Ray Forres,4,It's a very good open world game and looks good
Little,5,Very fun
Kyuu 9,1,"Played since patch 1.6. With the release of 5.x, it's gone to misandry-waifu-ONLY heck. If you like male characters for ANY REASON - either go to Honkai: Star Rail, or Tears of Themis for male characters in Hoyo games, or go to Love&Deep space or whatever. WE WANT MALE AND FEMALE CHARACTERS WITH SUBSTANCE WHO AREN'T JUST R34 BAIT! WE WANT EQUALITY! 1 5-STAR MALE IN ALL OF 2024!! WRIOTHESLEY HASN'T BEEN RERUN YET WAIFUS RELEASED AFTER HIM HAVE BEEN!!! Incel BS."
rollex60,5,Bomb jogo!
Jr Nofchissey2012,1,I would agree with everyone but the updates take a long time to load
Grace Abby,5,"Genshin impact is really awesome...because i can't get tired of playing this game while I'm at home or at work,...also its pretty cool when you continue to play and level up your characters...💯❤️‍🔥💫"
Guse 0,2,"The game is alright. Since I pre-registered and kind of left my account sit for some time, I was able to stock up on in-game currency which made it easier, but in a sense, it doesn't really feel like a game because of how simple and grind it is. I barely had enough to get 3 characters, which I've heard is just because the start of the game is more opening, with the further you delve into the game, making it even more difficult for you to obtain what you want. Again, it's okay, but just okay."
Boutros Ogalo Amun RA,5,"I was one of the GP irst to play this game back when it wasn't on Playstore, sad to se that it's still Not possible to select different shades of people"
Angelita,5,"I love this so much!! It have very good explorations, characters, and worlds! I LOVE THE QUEST STORIES! This deserves a 5 star above!!"
Louwe Jucar,3,In all honesty this game is really good but the rewards it's not getting better 😔
Jaylxn,1,"The fan service on Citlati is actually insane. I love this game so much, but when you take every female character and somehow sexualize them to the ""fans"" an angel looses it wings. She's supposed to be a literal granny, not a little tsundere. She'd be so much more enjoyable if she had a personality like Faruzan. Especially the scene with Lumine and Aether side by side, the excessive blushing for Aether? Seriously? Do better Genshin."
Eduardo Josue,5,9/10 Natlan needs the voices fully back smh
23_0385_ifandi_prima _ananda,2,i spend 2 hour quest for only 30 primogems? its not rewarding anymore
مـهـد,5,العبة جميلة وفيها اشياء مختلفة لاكن تنقصها اللغة العربية
Melissa Howard,4,"its fun, for me it sometimes crashes at the start and freezes sometimes, otherwise its great!"
Yong Joon,5,Best and awesome
Fallen Diaz,5,Just good in general tbh
Thee_hdd,1,It is so laggy and it runs so slowly like it crashes my phone before I even enter
Addy Tzy,1,Susah sangat nak bunuh enemy di natlan masa 1 minit suruh lawan 8 org bodoh punya quest babi sial
dianna,1,WHY DID YOU RUIN CITLALI
Aniket Mondal,5,"The game is too much grinding before you can enjoy the story everytime you progress. Need option in settings that would make Mouse/Touch ""Look"" control smooth like controller. Current control jitters with mouse or touch when slowly looking around while running. They should really learn from ZZZ. View is smooth there. English voice is missing from so many places. Lip syncing is also wrong in many many scenes for english voice."
AAA Alere James Mcfort B.,2,Where's the men
Steve White,5,Awesome
Kulveer S,5,Enjoy
Hisoka Morow,1,"Always hard pitty, im f2p player btw. Im sorry for being poor."
Shaina,5,I love love this game
FF Indonesia,5,That game is awesome i love this game so much 😍😍
Winnie Baldwin,1,Tries to play it couldn't because it literally takes forever to download and you can play the game until it download also it takes a lot of storage
Emmanuel Fatoba,5,Pretty good
L I G H T,1,The company is way too cheap with its gifts considering it's a really successful game with great incomes
Anna Lobo,4,"I play this game everyday, I love it! But, too much text 😭 I hate it, it's irrelevant, please no more text"
Efi,5,"it's a very fun game!! I love it, the characters and animations are so good :33"
Alex Mwangi,5,It's fun download
Hunny Goswami,5,I like this game's graphic🗿 and Animation👑
lizzyTab,5,Is very very good
Khuthadzo Netshi,5,I love it dearly!
Nabila Billa,3,I loved the game but sometimes the game start lagging
Sarib Ansari,5,Best adventure game
Aqeef Aqlan,5,Good game
Zarul poco,5,Cool graphic
Master Gaming,5,Buddha bless you
Naruto Uzumaki,5,Kapan android dapat controller 🎮 mode seperti IOS? Udah 4 tahun saya main dan saya menanti controller 🎮 mode seperti zzz dan hsr ..
meow,4,its a good game but too much fan service and they can barely make poc in a land thats representing poc
Ben Lev,5,"As a F2P, coming back to the game after not playing since launch was a satisfying experience. So much content to explore straight away. A lot of characters added that contribute to the deck. Even a card game was added. The Archon, World and Story quests are well written. Tons of content to explore and go through. Ended up playing more on my phone than on console even at home."
Stacy Cupcake,3,Love it and all but it needs alot of storage I literally deleted alot of my games just for it to say clear more I mean it's a pretty game love the character Design the lore the story the art the Music its all a 10 its an amazing game! But it needs alot of space😔
Shoaib Ali,5,Nice game
Erika Rich Ventura,3,"I LOVE THE GRAPICS, GAMEPLAY, LORE, AND THE CHARACTER DESIGNNNN! also could yall PLEASE redo citali's design because she should be a GRANNY. OLD. Not a highschool looking gorl who has a crush on Aether.."
